,app.memtotal,app.memavail,app.appbusythreads,app.apptotalthreads,app.cpuusage,app.jvmcpuusage,app.gccount,predValue
0,8000,6015,12,20,46,36,29,0
1,8000,7847,10,20,94,83,79,0
2,8000,2949,11,20,51,26,42,0
3,8000,2118,14,20,54,25,59,1
4,8000,5459,18,20,20,35,28,1
5,8000,2798,19,20,39,95,80,1
6,8000,7878,13,20,38,22,84,0
7,8000,7503,17,20,57,98,83,1
8,8000,5407,15,20,23,94,118,1
9,8000,7963,16,20,62,32,92,0
10,8000,4492,13,20,48,25,64,0
11,8000,7636,14,20,41,81,118,1
12,8000,7378,16,20,71,81,43,1
13,8000,7302,15,20,30,45,64,1
14,8000,4696,15,20,41,87,23,1
15,8000,6719,10,20,86,30,69,0
16,8000,6230,18,20,43,32,21,0
17,8000,3300,19,20,28,75,28,1
18,8000,7352,17,20,36,81,102,1
19,8000,6892,14,20,28,84,86,1
20,8000,5454,14,20,63,79,30,1
21,8000,3315,16,20,75,88,51,1
22,8000,5817,16,20,57,70,32,1
23,8000,6589,14,20,91,27,100,0
24,8000,2938,18,20,63,63,103,1
25,8000,4658,18,20,41,20,62,0
26,8000,2442,17,20,96,38,88,0
27,8000,7768,18,20,33,53,65,1
28,8000,3321,15,20,28,69,69,1
29,8000,3390,14,20,69,91,62,1
30,8000,5503,19,20,25,34,70,1
31,8000,7011,15,20,70,50,28,0
32,8000,3147,19,20,44,37,58,1
33,8000,7416,17,20,79,83,73,1
34,8000,5792,13,20,23,97,53,1
35,8000,6423,12,20,67,82,63,1
36,8000,7890,18,20,47,45,55,1
37,8000,5058,16,20,92,62,62,0
38,8000,5341,14,20,92,76,116,0
39,8000,2720,19,20,47,54,47,1
40,8000,7012,13,20,61,60,33,1
41,8000,3080,18,20,37,29,100,1
42,8000,5792,18,20,95,89,85,1
43,8000,2085,13,20,23,68,58,1
44,8000,7040,14,20,60,81,54,1
45,8000,7980,17,20,91,65,98,0
46,8000,2639,17,20,72,37,119,0
47,8000,4739,11,20,26,37,114,1
48,8000,5802,12,20,45,81,107,1
49,8000,3723,11,20,57,95,74,1
50,8000,2685,11,20,44,27,99,0
51,8000,6437,17,20,95,44,67,0
52,8000,7829,18,20,55,81,33,1
53,8000,3291,15,20,85,78,103,1
54,8000,7403,11,20,21,66,103,1
55,8000,2863,10,20,67,85,112,1
56,8000,7708,17,20,28,99,101,1
57,8000,3543,11,20,99,64,21,0
58,8000,3200,18,20,89,68,27,0
59,8000,7385,16,20,50,55,36,1
60,8000,3179,15,20,72,92,24,1
61,8000,6866,12,20,72,43,22,0
62,8000,7938,14,20,60,74,74,1
63,8000,4983,11,20,64,23,53,0
64,8000,6848,16,20,57,66,91,1
65,8000,7128,11,20,72,82,36,1
66,8000,3087,12,20,33,51,33,1
67,8000,7877,18,20,68,74,62,1
68,8000,6186,16,20,88,68,99,0
69,8000,3843,16,20,45,53,119,1
70,8000,2300,13,20,73,20,107,1
71,8000,7233,12,20,67,70,113,1
72,8000,2636,13,20,70,34,50,0
73,8000,7065,16,20,36,98,26,1
74,8000,7321,11,20,79,90,20,1
75,8000,3985,11,20,20,54,91,1
76,8000,6544,10,20,83,60,59,0
77,8000,4324,12,20,69,38,35,0
78,8000,6399,12,20,75,75,83,1
79,8000,4740,10,20,20,88,39,1
